,,,,,,
Codigo,Asignatura,Correlatividades,,,,Fecha
,,Para Cursar ,,Para Rendir ,,
,,Regular ,Aprobada ,Regular ,Aprobada ,
Primer Año,,,,,,
101,Algoritmos y Estructuras de Datos I ,,,,,"12/05/25,23/05/25"
102,Álgebra ,,,,,"13/05/25,24/05/25"
103,Algoritmos y Estructuras de Datos II ,101,,,101,"14/05/25,25/05/25"
104,Lógica y Matemática Computacional ,,,,102,"15/05/25,26/05/25"
105,Sistemas y Organizaciones ,,,,,"16/05/25,27/05/25"
Segundo Año,,,,,,
201,Paradigmas y Lenguajes ,103,101,,103,"16/05/25,27/05/27"
202,Arquitectura y Organización de Computadoras ,104,101,,104,"16/05/25,27/05/25"
203,Cálculo Diferencial e Integral ,104,102,,"102,104","16/05/25,27/05/25"
204,Programación Orientada a Objetos ,201,103,,"103,201","17/05/25,30/05/25"
205,Sistemas Operativos ,202,103,,"103,202","18/05/25,31/05/25"
206,Administración y Gestión de Organizaciones ,105,,,105,"19/05/25,31/05/25"
Tercer Año,,,,,,
301,Taller de Programación I ,204,201,,204,"16/05/25,27/05/25"
302,Comunicaciones de Datos ,205,202,,205,"16/05/25,27/05/25"
303,Ingeniería de Software I ,"204,206",105,,"204,206","17/05/25,307/05/25"
304,Taller de Programación II ,"301, 303 ","204, 205 ",,"301, 303 ","18/05/25,31/05/25"
305,Probabilidad y Estadística ,203,,,203,"16/05/25,27/05/25"
306,Bases de Datos I ,204,202,,303,"16/05/25,27/05/25"
307,Inglés Técnico Informático (extracurricular) ,,,,,
